date,eu,jap,hh
02-May-2014,-0.050655836,-0.028392122,-0.026392758
02-June-2014,-0.043071254,-0.011710457,0.005861114
02-July-2014,-0.052533086,-0.058804933,-0.125221843
01-August-2014,-0.014122994,0.034329284,-0.030930092
01-September-2014,0.0108815,-0.037544863,0.001042453
01-October-2014,0.05577458,0.0470296,-0.040640362
01-November-2014,-0.093265189,-0.019060297,0.093973648
01-December-2014,0.099387657,0.001922461,-0.197213757
01-January-2015,-0.060815383,0.035677185,-0.127308934
31-January-2015,-0.111989042,-0.130717392,-0.045880275
02-March-2015,0,-0.085389212,-0.016951592
02-April-2015,-0.199476966,-0.176002325,-0.074039638
02-May-2015,-0.013441335,-0.158146092,0.088636772
02-June-2015,-0.002587334,-0.015953903,-0.025241369
02-July-2015,0.004088276,0.032753707,0.022066403
01-August-2015,-0.053433809,0.03322326,-0.027285409
01-September-2015,-0.010620601,0.048820465,-0.042324186
01-October-2015,-0.040920363,-0.019547357,-0.131351382
01-November-2015,-0.091342686,-0.060339405,-0.099750273
01-December-2015,-0.077079181,-0.046835266,-0.092226185
01-January-2016,-0.146215968,-0.077864105,0.176303033
31-January-2016,-0.103246945,0.019085532,-0.158216779
02-March-2016,-0.014774125,-0.101342244,-0.119268283
01-April-2016,0.015201538,-0.125385647,0.097305075
02-May-2016,0.08659588,-0.084989641,0.006397328
01-June-2016,0.093967314,0.020979678,0.302139072
02-July-2016,-0.01717515,0.05401718,0.086459186
01-August-2016,-0.144076134,0.054930583,-0.00547634
01-September-2016,0.049672096,0.054667569,0.057200573
01-October-2016,0.226860746,0.014885588,-0.008415856
01-November-2016,0.064639119,-0.007907695,-0.143838665
01-December-2016,-0.048527254,-0.000109929,0.339365306
01-January-2017,0.124791213,0.057649556,-0.089850202
31-January-2017,-0.015212842,0.045302086,-0.152448864
02-March-2017,-0.190693087,-0.02028814,0.023960262
02-April-2017,0.001991407,0.060825684,0.072670565
02-May-2017,0.009439023,0.037371776,0.010599567
02-June-2017,-0.034526445,-0.023816983,-0.057752255
02-July-2017,0.023690876,-0.002731202,0.001209037
01-August-2017,0.090262915,0.006406392,-0.022056087
01-September-2017,0.084778725,-0.031144338,0.020285473
01-October-2017,0.03545927,-0.038708829,-0.031330378
01-November-2017,0.080578407,0.016316537,0.048262943
01-December-2017,0.064262324,0.022980386,-0.004582126
01-January-2018,-0.069105394,0.077344413,0.250848971
31-January-2018,0.008444073,0.050430685,-0.37619111
02-March-2018,-0.003184545,0.028531166,0.016659004
02-April-2018,0.033833158,-0.001940478,0.037090391
02-May-2018,0.077664768,0.015834302,0.003152003
02-June-2018,-0.00514335,0.018505022,0.05474123
02-July-2018,0.019923381,-0.000209802,-0.045982552
01-August-2018,0.062003851,0.040745666,0.046548513
01-September-2018,0.163561136,0.038629637,0.009786387
01-October-2018,-0.079836486,0.031117729,0.088629884
01-November-2018,-0.061684713,0.00340008,0.237120298
01-December-2018,-0.03557187,0.024902617,-0.058025187
01-January-2019,-0.093764885,0.000997543,-0.231421744
31-January-2019,-0.189977346,-0.016857041,-0.136436519
02-March-2019,-0.148164242,-0.044369009,0.085274467
02-April-2019,-0.05080926,-0.095503168,-0.111232604
02-May-2019,-0.125634214,-0.011755843,-0.001457615
02-June-2019,-0.190520715,-0.010215197,-0.095761554
02-July-2019,0.00897986,0.0084713,-0.013489527
01-August-2019,0.015459434,0.06989304,-0.067126977
01-September-2019,0.134299044,-0.068522589,0.138026216
01-October-2019,0.184481405,-0.015719534,-0.093126979
01-November-2019,0.018181032,0.005591499,0.1310401
01-December-2019,-0.108500623,0.00171112,-0.17966973
01-January-2020,-0.240332369,-0.01702305,-0.086891469
31-January-2020,-0.222776824,0.000756311,-0.05348922
02-March-2020,-0.067171959,0.031688611,-0.068646351
01-April-2020,-0.248649365,-0.020087904,-0.029054835
02-May-2020,-0.297206377,0.006536686,-0.000737918
01-June-2020,0.10649564,-0.116132431,-0.059250377
02-July-2020,0.027506121,-0.141592521,0.077963187
01-August-2020,0.463122803,-0.204943569,0.261028635
01-September-2020,0.32277249,-0.075230024,-0.19315379
01-October-2020,0.21285147,0.048978776,0.252420279
01-November-2020,-0.011053898,0.103862381,0.072306272
01-December-2020,0.191430287,0.111090828,-0.0212709
01-January-2021,0.216037739,0.161502467,0.055052803
31-January-2021,-0.165688262,0.092809271,0.385839118
02-March-2021,-0.005117815,-0.224218416,-0.422527892
02-April-2021,0.153950393,0.047219539,0.017311085
02-May-2021,0.220367734,0.074357433,0.095364274
02-June-2021,0.145211212,0.075616504,0.116683375
02-July-2021,0.194277793,0.074444234,0.156746499
01-August-2021,0.209561527,0.041801545,0.064664632
01-September-2021,0.392454232,0.057352304,0.234971185
01-October-2021,0.307138755,0.078805336,0.055878156
01-November-2021,-0.117013839,0.209008863,-0.088867599
01-December-2021,0.319635187,0.004482155,-0.296487022
01-January-2022,-0.296828383,-0.042445789,0.17711526
31-January-2022,-0.037162329,0.146054902,0.03298763
02-March-2022,0.442673692,-0.117484776,0.074535414
02-April-2022,-0.274886083,0.074950981,0.293473351
02-May-2022,-0.098930924,0.023756505,0.206580881
02-June-2022,0.140101712,-0.07112985,-0.075270759
02-July-2022,0.4250087,0.19511705,-0.037114536
01-August-2022,0.310842503,0.116369632,0.195109005
01-September-2022,-0.16984318,0.022753791,-0.124259774
,,,
,,,
