date,hh,jap
02-Jun-13,-0.057875464,-0.003924951
02-Jul-13,-0.048767994,0.010520246
01-Aug-13,-0.053256529,0.00456323
01-Sep-13,0.051143663,0.050395779
01-Oct-13,0.01847116,0.052914408
01-Nov-13,-0.005014599,0.028827125
01-Dec-13,0.154883692,0.013581017
01-Jan-14,0.093108039,-0.063568529
01-Feb-14,0.246475032,-0.106340227
02-Mar-14,-0.216280224,-0.040074532
02-Apr-14,-0.033400749,-0.113881442
02-May-14,-0.026392758,-0.102737314
02-Jun-14,0.005861114,-0.100360475
02-Jul-14,-0.125221843,-0.048923073
01-Aug-14,-0.030930092,0.101855868
01-Sep-14,0.001042453,0.142729157
01-Oct-14,-0.040640362,0.046944864
01-Nov-14,0.093973648,0.009048822
01-Dec-14,-0.197213757,-0.047851401
01-Jan-15,-0.127308934,-0.18082231
01-Feb-15,-0.045880275,0.083533202
02-Mar-15,-0.016951592,-0.082466021
02-Apr-15,-0.074039638,-0.038616129
02-May-15,0.088636772,-0.035899929
02-Jun-15,-0.025241369,0.02460536
02-Jul-15,0.022066403,0.003112292
01-Aug-15,-0.027285409,-0.069347296
01-Sep-15,-0.042324186,0.005762445
01-Oct-15,-0.131351382,-0.010415535
01-Nov-15,-0.099750273,-0.0794977
01-Dec-15,-0.092226185,-0.08836732
01-Jan-16,0.176303033,-0.134741396
01-Feb-16,-0.158216779,-0.098259565
01-Mar-16,-0.119268283,-0.021017109
01-Apr-16,0.097305075,-0.016812309
01-May-16,0.006397328,0.073801782
01-Jun-16,0.302139072,0.105101428
02-Jul-16,0.086459186,-0.03208959
01-Aug-16,-0.00547634,-0.12283118
31-Aug-16,0.057200573,0.080161956
01-Oct-16,-0.008415856,0.250137564
01-Nov-16,-0.143838665,0.077114516
01-Dec-16,0.339365306,-0.052974624
01-Jan-17,-0.089850202,0.120142203
01-Feb-17,-0.152448864,-0.045922612
02-Mar-17,0.023960262,-0.215218538
02-Apr-17,0.072670565,-0.020541811
02-May-17,0.010599567,-0.043397112
02-Jun-17,-0.057752255,-0.032034185
02-Jul-17,0.001209037,0.02821041
01-Aug-17,-0.022056087,0.160512005
01-Sep-17,0.020285473,0.08670524
01-Oct-17,-0.031330378,0.067719053
01-Nov-17,0.048262943,0.105921159
01-Dec-17,-0.004582126,0.08419039
01-Jan-18,0.250848971,-0.0928996
01-Feb-18,-0.37619111,0.003095474
02-Mar-18,0.016659004,-0.039183963
02-Apr-18,0.037090391,0.014827659
02-May-18,0.003152003,0.050987613
02-Jun-18,0.05474123,-0.020875025
02-Jul-18,-0.045982552,0.050878279
01-Aug-18,0.046548513,0.074083299
01-Sep-18,0.009786387,0.159871326
01-Oct-18,0.088629884,-0.046689762
01-Nov-18,0.237120298,-0.042687934
01-Dec-18,-0.058025187,-0.054473904
01-Jan-19,-0.231421744,-0.089219673
01-Feb-19,-0.136436519,-0.21997743
02-Mar-19,0.085274467,-0.186822761
02-Apr-19,-0.111232604,-0.078283956
02-May-19,-0.001457615,-0.155777109
02-Jun-19,-0.095761554,-0.143344169
02-Jul-19,-0.013489527,0.074293557
01-Aug-19,-0.067126977,0.015211198
01-Sep-19,0.138026216,0.116044399
01-Oct-19,-0.093126979,0.196110077
01-Nov-19,0.1310401,0.035571188
01-Dec-19,-0.17966973,-0.126742168
01-Jan-20,-0.086891469,-0.231476014
01-Feb-20,-0.05348922,-0.271147472
01-Mar-20,-0.068646351,-0.081109122
01-Apr-20,-0.029054835,-0.343791347
01-May-20,-0.000737918,-0.286459927
01-Jun-20,-0.059250377,0.20425628
02-Jul-20,0.077963187,0.017050011
01-Aug-20,0.261028635,0.538416057
31-Aug-20,-0.19315379,0.273794435
01-Oct-20,0.252420279,0.274604099
01-Nov-20,0.072306272,0.013580856
01-Dec-20,-0.0212709,0.208328337
01-Jan-21,0.055052803,0.199043373
01-Feb-21,0.385839118,-0.25768414
02-Mar-21,-0.422527892,0.011595098
02-Apr-21,0.017311085,0.1332441
02-May-21,0.095364274,0.231437409
02-Jun-21,0.116683375,0.122958305
02-Jul-21,0.156746499,0.214700904
01-Aug-21,0.064664632,0.215681778
01-Sep-21,0.234971185,0.398157282
01-Oct-21,0.055878156,0.281740867
01-Nov-21,-0.088867599,-0.07054108
01-Dec-21,-0.296487022,0.276513835
01-Jan-22,0.17711526,-0.306664956
01-Feb-22,0.03298763,-0.020378833
02-Mar-22,0.074535414,0.41292864
02-Apr-22,0.293473351,-0.501054828
02-May-22,0.206580881,-0.256718771
02-Jun-22,-0.075270759,0.133915639
02-Jul-22,-0.037114536,0.423501524
01-Aug-22,0.195109005,0.468676698
01-Sep-22,-0.124259774,-0.327851943
,,
,,
